loan_id,name,phone_number,age,income,credit_score,education,loan_amount,loan_status
LID100127,User127,9375463819,25,88388,381,Graduate,493855,Approved
LID100128,User128,9810814705,46,36014,773,Not Graduate,303608,Rejected
LID100129,User129,9431270069,34,112578,767,Not Graduate,808673,Rejected
LID100130,User130,9382117167,59,184827,724,Not Graduate,764261,Approved
LID100131,User131,9747559023,47,60390,503,Not Graduate,674705,Approved
LID100132,User132,9702321094,29,43711,882,Not Graduate,575332,Approved
LID100133,User133,9848432217,35,111658,686,Not Graduate,227763,Rejected
LID100134,User134,9745851558,35,77993,397,Graduate,281807,Approved
LID100135,User135,9389292448,46,178285,644,Graduate,74363,Approved
LID100136,User136,9516606739,62,27421,507,Not Graduate,358838,Approved
LID100137,User137,9301263713,33,37727,813,Graduate,444798,Rejected
LID100138,User138,9794812550,52,132418,885,Not Graduate,857733,Approved
LID100139,User139,9619357557,59,24358,465,Graduate,386473,Rejected
LID100140,User140,9362950890,52,85108,321,Not Graduate,51620,Rejected
LID100141,User141,9294453379,24,114018,453,Graduate,374368,Approved
LID100142,User142,9628429425,50,144457,738,Graduate,499871,Approved
LID100143,User143,9112661037,57,183189,594,Graduate,145419,Rejected
LID100144,User144,9863971433,43,51910,518,Graduate,742894,Approved
LID100145,User145,9164047829,59,146888,794,Graduate,956482,Rejected
LID100146,User146,9118716831,35,75754,529,Not Graduate,546712,Approved
LID100147,User147,9947465353,63,129847,319,Not Graduate,776989,Approved
LID100148,User148,9200116837,49,180443,852,Not Graduate,892288,Rejected
LID100149,User149,9793835906,56,58467,447,Graduate,230324,Approved
LID100150,User150,9795190038,33,168697,407,Not Graduate,367953,Approved
LID100151,User151,9478482829,52,53893,702,Graduate,596547,Rejected
LID100152,User152,9127004442,27,96329,895,Graduate,70655,Approved
LID100153,User153,9291114807,42,51007,782,Graduate,999133,Approved
LID100154,User154,9673270960,48,190604,666,Not Graduate,991114,Approved
LID100155,User155,9514950616,22,74253,713,Graduate,500400,Rejected
LID100156,User156,9141853932,62,32323,608,Not Graduate,71602,Rejected
LID100157,User157,9499090224,26,131335,433,Not Graduate,922377,Approved
LID100158,User158,9667577292,48,132356,582,Graduate,716470,Rejected
LID100159,User159,9176781762,48,130944,372,Graduate,973577,Rejected
LID100160,User160,9437727090,64,165282,780,Not Graduate,937278,Approved
LID100161,User161,9273256790,64,36456,651,Not Graduate,392962,Approved
LID100162,User162,9312172465,40,51367,859,Not Graduate,977699,Approved
LID100163,User163,9460692765,50,74624,625,Not Graduate,575825,Approved
LID100164,User164,9926234140,31,161178,742,Not Graduate,460354,Rejected
LID100165,User165,9158808989,48,88008,399,Not Graduate,830498,Rejected
LID100166,User166,9735088401,45,145926,358,Graduate,751562,Approved
LID100167,User167,9184455494,59,135395,807,Not Graduate,221236,Approved
LID100168,User168,9771464170,53,136492,557,Not Graduate,962977,Approved
LID100169,User169,9182171290,21,92240,712,Not Graduate,139743,Approved
LID100170,User170,9411982428,47,84315,751,Not Graduate,497875,Approved
LID100171,User171,9914596933,33,30756,364,Graduate,136155,Approved
LID100172,User172,9459644482,61,56378,894,Graduate,956630,Approved
LID100173,User173,9445124592,23,155327,453,Not Graduate,992349,Approved
LID100174,User174,9900980365,59,165556,565,Not Graduate,139846,Rejected
LID100175,User175,9402752016,26,145703,378,Not Graduate,808795,Approved
LID100176,User176,9762318473,28,76549,614,Graduate,342706,Approved
LID100177,User177,9152278971,47,185575,859,Graduate,864468,Approved
LID100178,User178,9697528919,29,93794,547,Graduate,766112,Approved
LID100179,User179,9892635646,57,65113,713,Graduate,910665,Approved
LID100180,User180,9510902863,53,94069,324,Graduate,657337,Approved
LID100181,User181,9428067628,62,156321,583,Graduate,289647,Rejected
LID100182,User182,9374228538,64,170273,748,Not Graduate,380825,Approved
LID100183,User183,9442459660,44,145541,600,Graduate,339962,Rejected
LID100184,User184,9668627833,35,29686,367,Graduate,998048,Rejected
LID100185,User185,9142251440,52,73363,306,Not Graduate,898964,Rejected
LID100186,User186,9173871891,52,117543,436,Graduate,369849,Approved
LID100187,User187,9281439372,44,151733,463,Not Graduate,594392,Rejected
LID100188,User188,9968711520,61,195915,382,Graduate,436480,Approved
LID100189,User189,9254629833,32,115673,719,Not Graduate,702192,Approved
LID100190,User190,9703149620,59,62828,372,Not Graduate,906035,Rejected
LID100191,User191,9167045181,22,68604,536,Not Graduate,676787,Approved
LID100192,User192,9314474094,23,30526,345,Not Graduate,895457,Approved
LID100193,User193,9842249121,57,88910,561,Not Graduate,801624,Approved
LID100194,User194,9513214120,37,45592,475,Graduate,868749,Approved
LID100195,User195,9119083727,22,48982,465,Graduate,474632,Approved
LID100196,User196,9897393728,22,20207,669,Not Graduate,223084,Approved
LID100197,User197,9389583380,48,108733,353,Not Graduate,574156,Rejected
LID100198,User198,9883911885,43,144982,718,Not Graduate,942017,Rejected
LID100199,User199,9835211400,57,88619,806,Graduate,511261,Rejected
LID100200,User200,9218157049,52,180400,640,Not Graduate,726760,Approved
LID100201,User201,9258315443,53,66479,426,Not Graduate,360414,Approved
LID100202,User202,9847319980,21,171175,708,Not Graduate,253141,Rejected
LID100203,User203,9653333995,39,190963,666,Not Graduate,693703,Rejected
LID100204,User204,9261498150,22,161826,570,Graduate,493049,Approved
LID100205,User205,9973542259,64,101437,678,Not Graduate,244716,Approved
LID100206,User206,9817542272,46,118540,372,Not Graduate,654494,Approved
LID100207,User207,9253982167,52,92982,547,Graduate,381612,Approved
LID100208,User208,9267932892,26,122747,342,Not Graduate,240545,Approved
LID100209,User209,9219051403,52,68231,676,Not Graduate,481544,Rejected
LID100210,User210,9390578064,24,49301,340,Graduate,480000,Approved
LID100211,User211,9334600317,31,192395,469,Graduate,73723,Approved
LID100212,User212,9967195383,37,38752,511,Graduate,897078,Approved
LID100213,User213,9193884203,58,118452,792,Not Graduate,771615,Approved
LID100214,User214,9661182396,44,164467,338,Not Graduate,574362,Approved
LID100215,User215,9135683836,25,141237,668,Graduate,829533,Approved
LID100216,User216,9500658025,54,76273,450,Graduate,338642,Approved
LID100217,User217,9271597047,26,111878,410,Graduate,770882,Rejected
LID100218,User218,9451098859,42,24895,779,Not Graduate,671169,Approved
LID100219,User219,9521597693,31,139968,735,Not Graduate,463757,Approved
LID100220,User220,9164416283,36,135700,346,Graduate,620217,Approved
LID100221,User221,9787388581,53,96559,874,Not Graduate,173199,Rejected
LID100222,User222,9910571813,29,30699,665,Graduate,281525,Approved
LID100223,User223,9505360196,26,29715,368,Not Graduate,338172,Rejected
LID100224,User224,9569636970,36,39169,598,Not Graduate,79545,Approved
LID100225,User225,9973063352,49,138413,595,Not Graduate,653857,Rejected
LID100226,User226,9190237915,23,167235,502,Not Graduate,81673,Rejected
LID100227,User227,9252980960,40,139264,360,Graduate,474190,Approved
LID100228,User228,9529477580,56,25782,613,Not Graduate,502115,Approved
LID100229,User229,9581884249,39,144481,460,Not Graduate,466313,Approved
LID100230,User230,9762810275,46,55585,630,Graduate,938943,Rejected
LID100231,User231,9128470187,23,50682,827,Not Graduate,405288,Approved
LID100232,User232,9739548717,39,198936,637,Graduate,376968,Approved
LID100233,User233,9611728280,40,149992,603,Graduate,73525,Rejected
LID100234,User234,9603893166,52,104416,802,Not Graduate,632092,Rejected
LID100235,User235,9202566751,27,147810,637,Not Graduate,196115,Approved
LID100236,User236,9827352293,61,58067,849,Graduate,616134,Approved
LID100237,User237,9129516955,53,193757,574,Graduate,127261,Approved
LID100238,User238,9295134972,60,38073,463,Graduate,807600,Approved
LID100239,User239,9206943187,59,56035,742,Not Graduate,550827,Approved
LID100240,User240,9382294739,38,110373,618,Graduate,234100,Approved
LID100241,User241,9760115285,60,103362,888,Graduate,865915,Approved
LID100242,User242,9852138364,21,110517,803,Graduate,57265,Rejected
LID100243,User243,9852712633,31,85450,686,Not Graduate,859195,Approved
LID100244,User244,9961601843,48,30382,793,Graduate,256724,Approved
LID100245,User245,9682995267,45,155509,789,Not Graduate,65733,Approved
LID100246,User246,9590567542,43,81929,372,Not Graduate,948628,Approved
LID100247,User247,9990496552,51,118864,808,Graduate,665326,Approved
LID100248,User248,9198132718,50,163401,689,Not Graduate,349564,Approved
LID100249,User249,9273847817,62,45169,594,Graduate,714607,Rejected
LID100250,User250,9990445476,55,107468,668,Not Graduate,991344,Approved
LID100251,User251,9813223665,27,54594,848,Not Graduate,508365,Approved
LID100252,User252,9482083205,36,65033,867,Graduate,71058,Rejected
LID100253,User253,9867960003,46,83133,486,Graduate,296301,Approved
LID100254,User254,9881520342,22,93861,744,Graduate,347073,Rejected
LID100255,User255,9506798562,21,51750,869,Not Graduate,212434,Approved
LID100256,User256,9440965852,32,60461,662,Not Graduate,660777,Rejected
LID100257,User257,9976074260,25,98222,422,Graduate,658952,Approved
LID100258,User258,9730839202,57,132020,487,Graduate,752716,Rejected
LID100259,User259,9280945048,52,44226,719,Not Graduate,127597,Rejected
LID100260,User260,9826271651,29,26721,551,Not Graduate,842473,Approved
LID100261,User261,9532710073,61,40609,848,Not Graduate,128209,Approved
LID100262,User262,9297453715,55,150513,634,Graduate,832397,Rejected
LID100263,User263,9835192837,39,124211,391,Not Graduate,242941,Approved
LID100264,User264,9363060592,36,199967,829,Graduate,726419,Approved
LID100265,User265,9204743587,23,156728,362,Not Graduate,674152,Approved
LID100266,User266,9958063122,40,144865,811,Not Graduate,198620,Rejected
LID100267,User267,9606378822,44,94520,438,Graduate,458294,Approved
LID100268,User268,9528972163,53,84309,484,Graduate,448635,Approved
LID100269,User269,9885541790,44,49984,504,Graduate,216562,Approved
LID100270,User270,9781755529,31,138947,513,Not Graduate,257158,Rejected
LID100271,User271,9515842907,28,25901,555,Not Graduate,689446,Rejected
LID100272,User272,9712304957,56,182624,434,Not Graduate,997841,Rejected
LID100273,User273,9565979123,58,51055,872,Graduate,51468,Approved
LID100274,User274,9592241816,60,188757,387,Not Graduate,336453,Rejected
LID100275,User275,9815290063,40,165788,506,Graduate,122255,Approved
LID100276,User276,9895106405,55,134099,428,Graduate,832366,Approved
LID100277,User277,9751336622,45,31138,302,Graduate,918331,Approved
LID100278,User278,9393764408,55,186370,420,Not Graduate,603006,Approved
LID100279,User279,9805741471,45,43429,684,Not Graduate,275409,Rejected
LID100280,User280,9866320473,49,70200,337,Graduate,289967,Approved
LID100281,User281,9199025455,38,199316,640,Not Graduate,743201,Approved
LID100282,User282,9146537287,38,121268,320,Graduate,788925,Rejected
LID100283,User283,9974068775,22,37347,541,Graduate,418697,Rejected
LID100284,User284,9952141914,55,167992,754,Not Graduate,886713,Approved
LID100285,User285,9459294991,36,51822,602,Graduate,425595,Approved
LID100286,User286,9710264897,61,197731,895,Graduate,297113,Rejected
LID100287,User287,9684880442,56,60108,894,Not Graduate,837199,Approved
LID100288,User288,9678563220,53,148955,368,Graduate,447111,Approved
LID100289,User289,9326527524,24,27967,428,Graduate,632314,Approved
LID100290,User290,9420909739,53,130719,495,Graduate,954574,Approved
LID100291,User291,9497448149,34,31871,439,Graduate,617256,Rejected
LID100292,User292,9299754705,41,184685,743,Graduate,745457,Approved
LID100293,User293,9438495910,40,48179,582,Graduate,458548,Approved
LID100294,User294,9283568348,28,75099,611,Graduate,195693,Approved
LID100295,User295,9132943756,27,55262,834,Not Graduate,651158,Approved
LID100296,User296,9812397616,23,98213,576,Not Graduate,592462,Approved
LID100297,User297,9397304109,37,137407,360,Graduate,960789,Approved
LID100298,User298,9130479984,53,169340,618,Graduate,935621,Approved
LID100299,User299,9298216449,32,106269,351,Not Graduate,614790,Approved
LID100300,User300,9485908510,42,80545,452,Not Graduate,348818,Approved
LID100301,User301,9842717364,42,59922,610,Not Graduate,611548,Approved
LID100302,User302,9973746353,50,62913,843,Not Graduate,772969,Approved
LID100303,User303,9878433869,58,117033,866,Not Graduate,754824,Approved
LID100304,User304,9622972109,58,124792,688,Graduate,646093,Rejected
LID100305,User305,9474334263,28,197404,847,Not Graduate,245991,Approved
LID100306,User306,9771870419,47,139863,476,Not Graduate,833924,Approved
LID100307,User307,9844614790,47,176104,661,Not Graduate,235541,Approved
LID100308,User308,9573924176,54,188918,613,Graduate,67194,Rejected
LID100309,User309,9357918897,41,64936,396,Graduate,732171,Approved
LID100310,User310,9611869014,50,180866,512,Graduate,908809,Rejected
LID100311,User311,9932740839,53,48141,436,Graduate,705152,Approved
LID100312,User312,9990482297,48,160146,305,Graduate,568953,Rejected
LID100313,User313,9727371730,53,157478,408,Graduate,618011,Rejected
LID100314,User314,9612158495,25,117359,846,Not Graduate,281408,Approved
LID100315,User315,9103729933,39,143279,338,Graduate,518451,Approved
LID100316,User316,9370674785,24,174363,724,Graduate,292113,Approved
LID100317,User317,9221559082,55,61568,560,Not Graduate,126298,Approved
LID100318,User318,9860526511,37,117539,725,Graduate,633526,Approved
LID100319,User319,9831327759,64,66851,386,Not Graduate,309425,Approved
LID100320,User320,9372365421,48,74823,764,Not Graduate,679721,Approved
LID100321,User321,9458143558,50,43312,375,Graduate,560609,Approved
LID100322,User322,9568548394,49,194180,770,Not Graduate,157092,Approved
LID100323,User323,9848491417,26,185243,713,Not Graduate,314291,Approved
LID100324,User324,9644901717,55,192851,756,Not Graduate,279991,Approved
LID100325,User325,9635270981,61,118723,584,Not Graduate,350589,Rejected
LID100326,User326,9856893811,57,32411,538,Graduate,759163,Approved
LID100327,User327,9142065153,44,77009,898,Not Graduate,242180,Rejected
LID100328,User328,9460306270,49,166494,857,Graduate,680458,Approved
LID100329,User329,9672306830,51,193540,671,Not Graduate,969517,Approved
LID100330,User330,9504936414,55,52371,794,Not Graduate,397761,Approved
LID100331,User331,9556037338,53,77022,344,Not Graduate,263482,Approved
LID100332,User332,9454581008,41,91229,700,Graduate,889934,Rejected
LID100333,User333,9438815063,52,119071,546,Graduate,691404,Approved
LID100334,User334,9316458676,43,116774,896,Graduate,874187,Approved
LID100335,User335,9931390308,53,46715,749,Not Graduate,714093,Rejected
LID100336,User336,9147871521,23,47605,784,Not Graduate,845911,Approved
LID100337,User337,9346081591,38,119853,317,Not Graduate,649649,Rejected
LID100338,User338,9201552884,45,51174,588,Not Graduate,726664,Rejected
LID100339,User339,9197223900,62,161028,713,Graduate,478910,Approved
LID100340,User340,9416788503,51,96373,534,Not Graduate,174232,Approved
LID100341,User341,9491620786,23,89252,715,Graduate,942018,Approved
LID100342,User342,9147198739,60,90017,798,Not Graduate,131171,Approved
LID100343,User343,9621012887,44,83037,414,Graduate,426295,Approved
LID100344,User344,9951437101,52,109818,533,Graduate,136296,Rejected
LID100345,User345,9885708209,42,26548,839,Not Graduate,190562,Rejected
LID100346,User346,9168882890,43,136981,310,Not Graduate,202324,Approved
LID100347,User347,9729714177,22,174249,505,Graduate,548506,Approved
LID100348,User348,9939250491,47,44022,546,Not Graduate,712222,Approved
LID100349,User349,9214559070,62,126297,858,Not Graduate,291535,Approved
LID100350,User350,9362386661,22,156614,426,Graduate,382103,Rejected
LID100351,User351,9780680865,46,80428,446,Graduate,453666,Approved
LID100352,User352,9942555246,37,173812,417,Graduate,368166,Approved
LID100353,User353,9352422984,60,79353,681,Graduate,833258,Approved
LID100354,User354,9114926350,53,133132,711,Not Graduate,898423,Rejected
LID100355,User355,9419444881,29,36052,883,Graduate,221999,Approved
LID100356,User356,9598175699,63,120689,662,Graduate,805737,Rejected
LID100357,User357,9761441402,59,198148,808,Graduate,361997,Approved
LID100358,User358,9317297048,49,151743,436,Not Graduate,81826,Rejected
LID100359,User359,9112679551,62,20163,474,Graduate,879311,Approved
LID100360,User360,9874290245,46,61424,588,Not Graduate,762625,Approved
LID100361,User361,9852139206,55,161706,780,Graduate,646649,Rejected
LID100362,User362,9317544425,45,155870,318,Graduate,290028,Approved
LID100363,User363,9226566082,44,42420,494,Not Graduate,390134,Approved
LID100364,User364,9321526633,33,140575,629,Graduate,401931,Approved
LID100365,User365,9526215002,27,49300,474,Graduate,267256,Rejected
LID100366,User366,9797090182,56,109881,748,Not Graduate,90736,Rejected
LID100367,User367,9339459412,40,30749,653,Graduate,336674,Approved
LID100368,User368,9193630906,21,124131,798,Graduate,259124,Approved
LID100369,User369,9898333975,28,176193,440,Graduate,228130,Rejected
LID100370,User370,9998006284,36,148563,392,Graduate,680368,Approved
LID100371,User371,9471381303,34,57487,538,Not Graduate,517310,Rejected
LID100372,User372,9328021044,32,184433,504,Graduate,386399,Approved
LID100373,User373,9781596920,43,41223,859,Not Graduate,710246,Rejected
LID100374,User374,9210188110,35,92930,732,Graduate,438742,Rejected
LID100375,User375,9434654824,48,165128,544,Not Graduate,274793,Rejected
LID100376,User376,9844637556,54,48380,616,Graduate,692911,Approved
LID100377,User377,9241415284,22,46035,594,Not Graduate,349531,Approved
LID100378,User378,9712514739,52,50620,581,Graduate,726935,Approved
LID100379,User379,9908509000,43,170949,316,Not Graduate,686548,Approved
LID100380,User380,9855682186,42,137360,370,Not Graduate,482859,Approved
LID100381,User381,9820191338,45,73352,568,Graduate,977604,Approved
LID100382,User382,9661798437,42,181983,624,Not Graduate,503572,Rejected
LID100383,User383,9524397031,42,183856,604,Graduate,451072,Approved
LID100384,User384,9200328700,62,23191,750,Graduate,481385,Approved
LID100385,User385,9621254620,26,184232,306,Graduate,996308,Approved
LID100386,User386,9225069040,35,110536,613,Graduate,741150,Approved
LID100387,User387,9272616083,63,124576,402,Graduate,343132,Approved
LID100388,User388,9182986123,57,23631,492,Not Graduate,553195,Approved
LID100389,User389,9699505936,53,157244,873,Graduate,388592,Rejected
LID100390,User390,9325838142,28,62080,828,Graduate,425574,Approved
LID100391,User391,9547589217,64,110353,470,Graduate,793264,Approved
LID100392,User392,9252156993,64,171353,836,Graduate,510522,Approved
LID100393,User393,9561884464,25,48671,550,Graduate,979809,Rejected
LID100394,User394,9456447401,59,142811,686,Graduate,715329,Approved
LID100395,User395,9733040523,24,147734,506,Not Graduate,324548,Rejected
LID100396,User396,9378762561,26,179674,840,Not Graduate,452205,Approved
LID100397,User397,9200683730,52,71399,715,Graduate,508521,Rejected
LID100398,User398,9289222788,50,174544,679,Not Graduate,479199,Approved
LID100399,User399,9165034719,55,27099,443,Graduate,815644,Approved
LID100400,User400,9917539245,60,176503,324,Graduate,220534,Approved
LID100401,User401,9867974086,36,76492,372,Graduate,331504,Approved
LID100402,User402,9963092539,33,116722,392,Graduate,922089,Approved
LID100403,User403,9654529820,62,198756,804,Graduate,469503,Rejected
LID100404,User404,9881828411,50,50111,897,Not Graduate,246544,Approved
LID100405,User405,9815274056,39,83936,635,Not Graduate,296512,Rejected
LID100406,User406,9692123802,37,173686,724,Not Graduate,814325,Rejected
LID100407,User407,9596099742,39,193063,798,Not Graduate,84160,Approved
LID100408,User408,9236391182,48,80920,663,Graduate,318933,Rejected
LID100409,User409,9405981543,46,83530,498,Not Graduate,208253,Approved
LID100410,User410,9526267242,57,187296,712,Graduate,719745,Approved
LID100411,User411,9843999006,46,27788,638,Not Graduate,919029,Rejected
LID100412,User412,9745727612,43,48082,728,Not Graduate,115641,Approved
LID100413,User413,9563012203,29,143287,438,Not Graduate,880679,Approved
LID100414,User414,9554914098,32,109570,841,Not Graduate,660961,Approved
LID100415,User415,9695814837,21,121015,356,Graduate,281322,Approved
LID100416,User416,9307586219,21,103588,531,Not Graduate,317688,Rejected
LID100417,User417,9169591785,54,167603,734,Not Graduate,821143,Approved
